13.2,1.8,2.4,17.0,105,2.7,3.0,0.28,2.2,5.2,1.04,3.4,1050,1
13.3,1.7,2.5,17.2,102,2.8,3.1,0.27,2.1,5.0,1.05,3.5,1080,1
13.1,1.9,2.3,16.8,100,2.6,2.9,0.29,2.0,5.4,1.03,3.3,1030,1
12.8,2.0,2.2,18.0,98,2.4,2.7,0.30,1.9,5.6,1.00,3.1,980,1
13.4,1.6,2.6,17.4,110,2.9,3.2,0.25,2.3,4.8,1.07,3.6,1120,1
12.9,1.8,2.4,18.2,101,2.5,2.8,0.31,2.0,5.1,1.02,3.2,1000,1
12.7,3.0,2.1,21.0,88,1.9,1.6,0.42,1.3,7.5,0.68,2.1,620,2
12.5,3.1,2.0,21.5,90,2.0,1.7,0.40,1.4,7.2,0.70,2.2,640,2
12.6,2.9,2.2,20.8,87,1.8,1.5,0.43,1.2,7.8,0.66,2.0,600,2
12.4,3.2,2.0,22.0,92,1.9,1.6,0.41,1.3,7.4,0.69,2.1,630,2
12.8,2.8,2.3,20.5,89,2.1,1.8,0.39,1.5,7.0,0.72,2.3,660,2
12.3,3.3,1.9,22.4,85,1.7,1.4,0.45,1.1,8.0,0.64,1.9,580,2
14.1,1.0,2.8,14.5,125,3.3,3.6,0.18,2.8,4.0,1.28,4.1,1300,3
14.3,1.1,2.9,14.8,128,3.4,3.7,0.17,2.9,3.8,1.30,4.2,1340,3
13.9,0.9,2.7,14.2,123,3.2,3.5,0.19,2.7,4.2,1.26,4.0,1270,3
14.2,1.2,2.8,15.0,130,3.5,3.8,0.16,3.0,3.6,1.31,4.3,1370,3
14.0,1.0,2.9,14.6,126,3.3,3.6,0.18,2.8,4.1,1.29,4.15,1320,3
14.4,0.8,3.0,14.0,132,3.6,3.9,0.15,3.1,3.5,1.33,4.4,1400,3
